strategy,prompts,crops,window,dev_mean,heldout_mean,heldout_std,all_clips
margin_maxmax_plus_center,generic,whole,15,0.6334,0.6372,0.0347,0.6357
textdev_w50_plus_motion5,none,whole,5,0.6333,0.6451,0.0367,0.6393
margin_maxmax,matched,whole,5,0.633,0.6581,0.0258,0.6452
textdev_w150_plus_center,none,whole,31,0.6323,0.6398,0.0373,0.6366
textdev_w150_plus_center,none,whole,15,0.6322,0.6389,0.0352,0.6361
margin_pooled,mismatched,whole,1,0.6318,0.6505,0.0355,0.6416
motion5,-,whole,1,0.6318,0.6189,0.013,0.6255
textdev_clip,mismatched,whole,1,0.6318,0.6505,0.0355,0.6416
textdev_w150_plus_center,mismatched,whole,31,0.6314,0.6336,0.0338,0.6333
motion1,-,whole,1,0.6307,0.6305,0.0191,0.6308
textdev_w50_plus_motion5,matched,whole,1,0.6297,0.6462,0.0285,0.6384
textdev_w50_plus_motion1,none,whole,5,0.6293,0.6486,0.0367,0.6393
textdev_w50_plus_motion5,mismatched,whole,5,0.6293,0.6363,0.0303,0.6329
margin_maxmax,generic,whole,5,0.6292,0.6501,0.035,0.6385
margin_pooled_plus_center,none,whole,31,0.6289,0.6347,0.0367,0.6326
textdev_clip_plus_center,none,whole,31,0.6289,0.6347,0.0367,0.6326
margin_pooled,generic,whole,31,0.6286,0.6584,0.0397,0.6445
textdev_clip,generic,whole,31,0.6286,0.6584,0.0397,0.6445
margin_pooled_plus_center,mismatched,whole,31,0.6283,0.633,0.0322,0.6317
textdev_clip_plus_center,mismatched,whole,31,0.6283,0.633,0.0322,0.6317
margin_maxmax,none,whole,5,0.628,0.6501,0.0343,0.638
margin_maxmax,mismatched,whole,5,0.628,0.6501,0.0343,0.638
margin_maxmax_plus_center,none,whole,5,0.6278,0.6312,0.034,0.6298
margin_maxmax_plus_center,mismatched,whole,5,0.6278,0.6312,0.034,0.6298
textdev_w150_plus_center,generic,whole,31,0.6276,0.63,0.0392,0.6293
textdev_w150_plus_center,none,whole,5,0.6269,0.635,0.0362,0.6315
margin_pooled_plus_center,none,whole,15,0.6268,0.6317,0.0346,0.6302
margin_maxmax_plus_center,generic,whole,5,0.6268,0.6304,0.034,0.6289
textdev_clip_plus_center,none,whole,15,0.6268,0.6317,0.0346,0.6302
textdev_w150_plus_center,mismatched,whole,15,0.6268,0.6336,0.0338,0.6307
textdev_w150_plus_center,generic,whole,15,0.6267,0.6319,0.0386,0.6297
textdev_w50_plus_motion5,generic,whole,5,0.6266,0.6371,0.0369,0.632
textdev_w150_plus_center,matched,whole,31,0.6263,0.6416,0.0341,0.6347
textdev_w150,generic,whole,31,0.6256,0.6509,0.0407,0.6386
margin_pooled,matched,whole,1,0.6253,0.6528,0.0331,0.6396
textdev_clip,matched,whole,1,0.6253,0.6528,0.0331,0.6396
margin_maxmax_plus_center,matched,whole,31,0.6247,0.6386,0.0275,0.6318
margin_pooled_plus_center,generic,whole,31,0.6243,0.628,0.0382,0.6269
textdev_clip_plus_center,generic,whole,31,0.6243,0.628,0.0382,0.6269
textdev_w50_plus_motion1,generic,whole,5,0.6241,0.6439,0.0369,0.6345
textdev_w150_plus_center,generic,whole,5,0.6241,0.6319,0.0382,0.6286
textdev_w50_plus_motion5,none,whole,1,0.6232,0.6386,0.0339,0.6316
textdev_w50_plus_motion1,mismatched,whole,5,0.623,0.6394,0.0289,0.6315
margin_pooled_plus_center,generic,whole,15,0.6227,0.6271,0.0379,0.6256
textdev_clip_plus_center,generic,whole,15,0.6227,0.6271,0.0379,0.6256
margin_pooled_plus_center,mismatched,whole,15,0.6223,0.6284,0.0321,0.6262
textdev_clip_plus_center,mismatched,whole,15,0.6223,0.6284,0.0321,0.6262
textdev_w150_plus_center,mismatched,whole,5,0.6213,0.6296,0.0345,0.6258
textdev_w150_plus_center,matched,whole,15,0.6212,0.6388,0.0344,0.6306
textdev_w150_plus_center,matched,whole,5,0.6202,0.6371,0.0321,0.6293
textdev_w150_plus_center,none,whole,1,0.6199,0.6286,0.0346,0.6247
textdev_w50_plus_motion1,matched,whole,1,0.6198,0.6526,0.0275,0.6367
margin_maxmax_plus_center,matched,whole,15,0.6191,0.6326,0.0264,0.6261
margin_pooled_plus_center,none,whole,5,0.619,0.6278,0.0356,0.6244
textdev_clip_plus_center,none,whole,5,0.619,0.6278,0.0356,0.6244
textdev_w150_plus_center,generic,whole,1,0.6181,0.624,0.0361,0.6216
margin_pooled_plus_center,generic,whole,5,0.6178,0.6275,0.0376,0.6235
textdev_clip_plus_center,generic,whole,5,0.6178,0.6275,0.0376,0.6235
margin_maxmax,generic,whole,1,0.6176,0.6387,0.0323,0.6273
margin_pooled_plus_center,matched,whole,31,0.6174,0.635,0.0339,0.6269
textdev_clip_plus_center,matched,whole,31,0.6174,0.635,0.0339,0.6269
margin_pooled_plus_center,mismatched,whole,5,0.6168,0.6238,0.0337,0.6208
textdev_clip_plus_center,mismatched,whole,5,0.6168,0.6238,0.0337,0.6208
textdev_w50_plus_motion5,generic,whole,1,0.6167,0.6277,0.0343,0.623
margin_maxmax,none,whole,1,0.6165,0.6398,0.0314,0.6273
margin_maxmax,mismatched,whole,1,0.6165,0.6398,0.0314,0.6273
margin_pooled_plus_center,generic,whole,1,0.616,0.6246,0.0347,0.6211
textdev_clip_plus_center,generic,whole,1,0.616,0.6246,0.0347,0.6211
textdev_w150_plus_center,mismatched,whole,1,0.6156,0.6232,0.0348,0.6195
textdev_w50_plus_motion5,mismatched,whole,1,0.6147,0.6242,0.0281,0.6197
textdev_w50_plus_motion1,none,whole,1,0.6144,0.6367,0.0377,0.626
margin_maxmax_plus_center,matched,whole,5,0.614,0.6242,0.0249,0.6193
margin_pooled_plus_center,none,whole,1,0.613,0.6243,0.0335,0.6196
textdev_clip_plus_center,none,whole,1,0.613,0.6243,0.0335,0.6196
margin_pooled_plus_center,matched,whole,15,0.6127,0.631,0.0336,0.6225
textdev_clip_plus_center,matched,whole,15,0.6127,0.631,0.0336,0.6225
margin_pooled_plus_center,mismatched,whole,1,0.6122,0.6181,0.0327,0.6155
textdev_clip_plus_center,mismatched,whole,1,0.6122,0.6181,0.0327,0.6155
textdev_w150_plus_center,matched,whole,1,0.6116,0.625,0.0321,0.6186
margin_pooled_plus_center,matched,whole,5,0.6104,0.6277,0.0309,0.6198
textdev_clip_plus_center,matched,whole,5,0.6104,0.6277,0.0309,0.6198
margin_maxmax_plus_center,none,whole,1,0.6103,0.6127,0.0309,0.6113
margin_maxmax_plus_center,mismatched,whole,1,0.6103,0.6127,0.0309,0.6113
margin_maxmax_plus_center,generic,whole,1,0.6102,0.6123,0.0317,0.6111
textdev_w50_plus_motion1,generic,whole,1,0.61,0.6317,0.0365,0.6215
textdev_w50_plus_motion1,mismatched,whole,1,0.61,0.629,0.031,0.6201
margin_maxmax,matched,whole,1,0.6095,0.6317,0.0329,0.6202
textdev_w50,matched,whole,31,0.6048,0.6317,0.0268,0.6186
textdev_w50,none,whole,15,0.6037,0.6372,0.0362,0.621
textdev_w50,none,whole,31,0.6025,0.6334,0.0359,0.6188
textdev_w50_plus_center,matched,whole,31,0.6006,0.6073,0.0271,0.6042
margin_pooled_plus_center,matched,whole,1,0.6003,0.6157,0.0319,0.6085
textdev_clip_plus_center,matched,whole,1,0.6003,0.6157,0.0319,0.6085
textdev_w50_plus_center,mismatched,whole,31,0.6,0.6062,0.0303,0.6034
textdev_w50,matched,whole,15,0.5984,0.6341,0.0266,0.6162
margin_maxmax_plus_center,matched,whole,1,0.597,0.6035,0.0265,0.6003
textdev_w50,matched,whole,5,0.5937,0.6281,0.0242,0.6108
textdev_w50,none,whole,5,0.5935,0.6264,0.0364,0.6102
textdev_w50_plus_center,matched,whole,15,0.5934,0.6091,0.0271,0.6014
textdev_w50,mismatched,whole,31,0.5931,0.6154,0.0292,0.6049
textdev_w50,mismatched,whole,15,0.5928,0.6187,0.0278,0.6065
textdev_w50,none,whole,1,0.5927,0.624,0.0336,0.6086
textdev_w50_plus_center,mismatched,whole,15,0.5915,0.602,0.0289,0.5972
textdev_w50_plus_center,none,whole,31,0.591,0.5978,0.0329,0.5945
textdev_w50,mismatched,whole,5,0.59,0.614,0.0298,0.6026
textdev_w50,generic,whole,15,0.5875,0.6183,0.0357,0.6037
textdev_w50_plus_center,generic,whole,31,0.5873,0.5953,0.0337,0.5913
textdev_w50_plus_center,mismatched,whole,5,0.5871,0.5974,0.0283,0.5924
textdev_w50,generic,whole,1,0.5862,0.6128,0.0325,0.6004
textdev_w50_plus_center,generic,whole,15,0.5862,0.5972,0.0345,0.5918
center,-,whole,31,0.5856,0.5852,0.0252,0.5853
textdev_w50_plus_center,none,whole,15,0.5856,0.5987,0.0329,0.5921
textdev_w50_plus_center,generic,whole,1,0.5841,0.5946,0.0299,0.5896
textdev_w50,generic,whole,5,0.5834,0.6135,0.0337,0.5992
textdev_w50_plus_center,matched,whole,5,0.5832,0.6006,0.0251,0.5919
textdev_w50_plus_center,generic,whole,5,0.582,0.5957,0.0331,0.589
textdev_w50,generic,whole,31,0.5814,0.614,0.0367,0.5983
textdev_w50_plus_center,none,whole,5,0.581,0.5989,0.0322,0.5901
textdev_w50,matched,whole,1,0.5804,0.6141,0.026,0.597
textdev_w50_plus_center,mismatched,whole,1,0.5787,0.5917,0.0278,0.5852
textdev_w50,mismatched,whole,1,0.5782,0.6036,0.0308,0.5912
textdev_w50_plus_center,none,whole,1,0.5778,0.5943,0.0296,0.5861
center,-,whole,15,0.5757,0.5764,0.022,0.5753
textdev_w50_plus_center,matched,whole,1,0.5737,0.5947,0.0252,0.5841
center,-,whole,5,0.5662,0.5645,0.0213,0.5646
center,-,whole,1,0.5604,0.5574,0.0208,0.5583
